PADRE,,,,,,,
CARRERA,NOMBRE CORTO,Monitoreo,FECHA,Hora,Tipo Examen,Material Permitido,Observaciones
16,Dº CIVIL FLIA.,----------,6/5/2025,18:00,ESCRITO EN SEDE ,NO PERMITIDO,El acto evalutivo se llevara a cabo el dia 09/05 
16,Dº INT. PUBL.,----------,6/5/2025,8:00,ORAL VIRTUAL,NO PERMITIDO,"Examen virtual domiciliario, asegurar funcionamieto de cámara y micrófono, caso contrario no se evaluara."
16,Dº INTERNACIONAL PÚB,-------,6/5/2025,8:00,ORAL VIRTUAL,NO PERMITIDO,"Examen virtual domiciliario, asegurar funcionamieto de cámara y micrófono, caso contrario no se evaluara."
16,Dº PENAL ESPEC.,-------,7/5/2025,17:00,ORAL VIRTUAL,NO PERMITIDO,"Examen virtual domiciliario, asegurar funcionamieto de cámara y micrófono, caso contrario no se evaluara. Habrá 3 salas. los alumnos deberán esperar en la sala de espera."
16,Dº PENAL GRAL.,PROCTORING,7/5/2025,16:00,ESCRITO EN SEDE ,NO PERMITIDO,
16,Dº PENAL GRAL.,-------,7/5/2025,16:30,ORAL VIRTUAL,NO PERMITIDO,"Examen virtual domiciliario, asegurar funcionamiento de cámara y micrófono, caso contrario no se evaluara. El acto evalutivo se llevara a cabo el dia 08/05 "
16,Dº PENAL GRAL.,-------,7/5/2025,15:00,ORAL VIRTUAL,NO PERMITIDO,"Examen virtual domiciliario, asegurar funcionamiento de cámara y micrófono, caso contrario no se evaluara."
16,D°ADMINISTRATIVO,,7/5/2025,18:00,ESCRITO EN SEDE ,NO PERMITIDO,
363,TEORÍA DE CONTRATOS,,7/5/2025,17:00,ORAL VIRTUAL,NO PERMITIDO,"DEBEN TENER CÁMARA Y MICROFONO ACTIVADOS, ASEGURARSE DE TENER BUENA CONEXIÓN A INTERNET (15 MINUTOS ANTES DEL EXAMEN PUEDEN INGRESAR A LA SALA PARA PROBAR SU CONEXIÓN) NO PUEDEN USAR AURICULARES. SI NO CUMPLEN CON LOS REQUISITOS NO PODRÁN RENDIR"
355,TEORÍA DE CONTRATOS,,7/5/2025,17:00,ORAL VIRTUAL,NO PERMITIDO,"DEBEN TENER CÁMARA Y MICROFONO ACTIVADOS, ASEGURARSE DE TENER BUENA CONEXIÓN A INTERNET (15 MINUTOS ANTES DEL EXAMEN PUEDEN INGRESAR A LA SALA PARA PROBAR SU CONEXIÓN) NO PUEDEN USAR AURICULARES. SI NO CUMPLEN CON LOS REQUISITOS NO PODRÁN RENDIR"
16,Dº PENAL ESPEC.,PROCTORING,7/5/2025,16:00,ESCRITO EN SEDE ,NO PERMITIDO,
16,Dº PENAL ESPEC.,-------,7/5/2025,0:00,ORAL,NO PERMITIDO,"Presencial para los alumnos de Salta en Campus Castañares, el resto del país oral virtual. No hay inscriptos"
16,D°ADMINISTRATIVO,-------,7/5/2025,18:00,ESCRITO EN SEDE ,SI (leer observaciones),"Se admite bibliografia y apuntes, sin acceso a busquedas en internet."
16,D°ADMINISTRATIVO,,7/5/2025,18:00,ESCRITO EN SEDE ,NO PERMITIDO,
138,ALGEBRA,-----,7/5/2025,18:00,Escrito en Sede,"Hoja en Blanco
 No Calculadora
 No Geogebra",
383,INT.TERMODINÁMICA,PROCTORING,7/5/2025,14:00,"Escrito en sede
 Cuestionario Cerrado con Proctoring",calculadora,"No hace falta tabla, la información necesaria estará disponible en la consigna."
83,SEG.INDUSTRIAL I,PROCTORING,7/5/2025,18:00,Escrito en Sede,,
360,TEC.COMUNICACIONES I,,7/5/2025,14:00,escrito en sede,,
16,Dº C.CONTRATOS,PROCTORING,8/5/2025,16:00,ESCRITO EN SEDE ,NO PERMITIDO,
16,Dº INT. PRIVADO,------,8/5/2025,9:00,ORAL VIRTUAL,NO PERMITIDO,"Examen virtual domiciliario, asegurar funcionamieto de cámara y micrófono, caso contrario no se evaluara."
16,Dº INT. PRIVADO,------,8/5/2025,9:00,ORAL VIRTUAL,NO PERMITIDO,"Examen virtual domiciliario, asegurar funcionamieto de cámara y micrófono, caso contrario no se evaluara."
355,TEORÍA GRAL. OBLIG,PROCTORING,8/5/2025,16:00,ESCRITO EN SEDE ,NO PERMITIDO,
363,Dº ADMINISTRATIVO,PROCTORING,8/5/2025,16:00,ESCRITO EN SEDE ,NO PERMITIDO,
196,SEGUR.PÚBLICA,PROCTORING,8/5/2025,18:00,Escrito en sede,NO PERMITIDO,
196,SEGUR.PÚBLICA,PROCTORING,8/5/2025,18:00,Escrito en sede,NO PERMITIDO,
16,Dº C.CONTRATOS,PROCTORING,8/5/2025,16:00,ESCRITO EN SEDE ,NO PERMITIDO,
16,Dº INT. PRIVADO,------,8/5/2025,18:00,ESCRITO EN SEDE ,PERMITIDO,"Se admite bibliografía física (fuentes y manuales de la cátedra, NO APUNTES), sin acceso a página de internet."
16,Dº C.CONTRATOS,------,8/5/2025,14:00,ORAL VIRTUAL,NO PERMITIDO,"Presencial para los alumnos de Salta en Campus Castañares, el resto del país oral virtual.
Examen virtual domiciliario, asegurar funcionamiento de cámara y micrófono, caso contrario no se evaluara."
16,Dº INT. PRIVADO,------,8/5/2025,14:00,ORAL,NO PERMITIDO,"
Presencial para los alumnos de Salta en Campus Castañares, el resto del país oral virtual.
Examen virtual domiciliario, asegurar funcionamiento de cámara y micrófono, caso contrario no se evaluara."
83,AMB.DEL TRABAJO I,PROCTORING,8/5/2025,18:00,escrito en sede,SE PUEDE UTILIZAR CALCULADORA CIENTÍFICA. NO SE PUEDE UTILIZAR LA DEL CELULAR.,
360,SEG. SOFTWARE,PROCTORING,8/5/2025,18:00,escrito en sede,,
138,RECURSOS HUM.Y LIDER,PROCTORING,8/5/2025,18:00,Escrito en Sede,,
16,DERECHO COMERCIAL,PROCTORING,9/5/2025,16:00,ESCRITO EN SEDE ,NO PERMITIDO,
16,Dº EMPRESARIAL,PROCTORING,9/5/2025,16:00,ESCRITO EN SEDE ,NO PERMITIDO,
16,Dº CIV. REALES,-------,9/5/2025,16:00,ORAL VIRTUAL,NO PERMITIDO,
16,FZAS Y Dº FCIER,-------,9/5/2025,14:00,ESCRITO EN SEDE ,PERMITIDO,"Se pueden utilizar las leyes 11683, ley 19549 , la ley incorporada por art 279 de la ley 27.430 y los decretos 1397/79 y 1759 /72 que deberán estar descargadas en la computadora o en soporte papel, pero sin ninguna otra anotación. Está prohibido las busquedas en internet."
196,Dº CONSTITUC.,PROCTORING,9/5/2025,14:00,Escrito en sede,NO PERMITIDO,
16,Dº CIV. REALES,-------,9/5/2025,18:00,ESCRITO EN SEDE ,NO PERMITIDO,
16,FZAS Y Dº FCIER,-------,9/5/2025,14:00,ESCRITO EN SEDE ,NO PERMITIDO,
16,FZAS Y Dº FCIER,-------,9/5/2025,14:00,ESCRITO EN SEDE ,NO PERMITIDO,
16,Dº CIV. REALES,-------,9/5/2025,18:00,ESCRITO EN SEDE ,NO PERMITIDO,
16,DERECHO COMERCIAL,-------,9/5/2025,0:00,ORAL VIRTUAL ,NO PERMITIDO,"Examen virtual domiciliario, asegurar funcionamiento de cámara y micrófono, caso contrario no se evaluara."
16,Dº EMPRESARIAL,-------,9/5/2025,15:00,ORAL VIRTUAL ,NO PERMITIDO,
16,DERECHO COMERCIAL,PROCTORING,9/5/2025,16:00,ESCRITO EN SEDE ,NO PERMITIDO,
16,Dº EMPRESARIAL,PROCTORING,9/5/2025,16:00,ESCRITO EN SEDE ,NO PERMITIDO,
360,TRABAJO FINAL INTEG.,---,9/5/2025,14:00,examen oral,,
83,SEG.INDUSTRIAL V,PROCTORING,9/5/2025,18:00,Escrito en Sede,,
361,DOC.SOC.IGLESIA,,12/5/2025,14:00,Escrito en sede,No permitido,
361,ANÁLISIS CRIMINAL,PROCTORING,13/5/2025,16:00,Escrito en sede,No permitido,
244,INTR.MATEM.FINANC.,PROCTORING,13/5/2025,14:00,Escrito en sede,Calculadora física y fórmulas ,
244,INTR.MATEM.FINANC.,PROCTORING,13/5/2025,14:00,Escrito en sede,Calculadora física y fórmulas ,
244,ASP.FINC.NEG.INMOB.,,13/5/2025,16:00,Escrito en sede,"Calculadora, fórmulas y Excel por no más de 10 min. ",
187,MET. DE LA INVEST.,,13/5/2025,18:00,Oral,,
185,SEM.CALC.EV.EF.ENERG,-------,14/5/2025,14:00,oral,,
194,HUMANISMO Y DOCTRINA,,14/5/2025,14:00,ESCRITO-SEDE,,
194,TESIS (TRABAJO FINAL,,15/5/2025,14:00,COLABORRETTE-ORAL,,
17,INT.A LAS REL.INTER.,PROCTORING,19/5/2025,16:00,escrito en sede,,
17,Dº INT.PUBL. I,,21/5/2025,14:00,oral,,
17,TEORIA DE LAS REL.IN,PROCTORING,22/5/2025,16:00,escrito en sede,,
17,RELACIONES INT.II,-------------------,28/5/2025,18:00,escrito en sede,,
113,RELAC.HUMAN.INST.,PROCTORING,21/5/2025,14:00,,,
